trial_number,receive_time,node,ts,px,py,yaw,temp
1,1778095545.6312973,1,104683,-1.117085,0.800866,0.95487,48.6
1,1778095549.1137812,1,108183,-1.570633,1.01398,0.997762,48.6
1,1778095551.719547,1,110786,-0.163377,0.661616,1.030069,49.6
1,1778095551.814549,1,110883,-0.166054,0.666821,1.031177,48.6
1,1778095551.9637089,1,111033,-0.169702,0.673751,1.032779,48.6
1,1778095552.1136787,1,111183,-0.174415,0.682355,1.034809,49.6
1,1778095552.4756749,1,111533,-0.185089,0.700909,1.03905,49.6
1,1778095554.0638793,1,113133,-0.242738,0.789593,1.058552,49.6
1,1778095555.879024,1,114933,-0.323106,0.899337,1.080498,49.6
1,1778095556.3819332,1,115433,-0.34659,0.931964,1.086554,49.6
1,1778095556.8769174,1,115933,-0.370152,0.965361,1.092177,49.6
1,1778095559.021843,1,118083,-0.475296,1.126274,1.119844,49.6
1,1778095559.5715384,1,118633,-0.349374,0.78711,1.126042,49.6
1,1778095559.8714142,1,118933,-0.354698,0.788157,1.129493,49.6
1,1778095560.3144128,1,119383,-0.36254,0.790342,1.13473,49.6
1,1778095562.1726496,1,121233,-0.397039,0.810023,1.157131,49.6
1,1778095563.4701748,1,122533,-0.393712,0.743017,1.172288,49.6
1,1778095564.239714,1,123301,-0.40356,0.73305,1.180554,49.6
1,1778095564.9633787,1,124033,-0.41356,0.725814,1.188746,50.6
1,1778095565.866589,1,124933,-0.426703,0.719934,1.199071,50.6
1,1778095566.0633895,1,125133,-0.429651,0.719078,1.201197,50.6
1,1778095566.5787015,1,125642,-0.437815,0.717546,1.207049,50.6
1,1778095567.5768478,1,126633,-0.454978,0.717699,1.218495,50.6
1,1778095568.9195628,1,127985,-0.481316,0.722225,1.234817,50.6
1,1778095574.4677444,1,133533,-0.540573,0.659133,1.300217,50.6
1,1778095706.0356069,1,19637,-3.3e-05,4.155966e-06,0.000612,39.6
1,1778095706.0903413,1,19687,-6.4e-05,3.1e-05,0.001188,39.6
1,1778095706.1541476,1,19753,-0.000112,0.000143,0.001875,39.6
1,1778095706.1869018,1,19787,-0.000139,0.000238,0.002226,39.6
1,1778095706.2454467,1,19843,-0.000186,0.00041,0.00275,39.6
1,1778095706.2863317,1,19887,-0.00024,0.000598,0.003168,39.6
1,1778095706.3875334,1,19987,-0.000419,0.001016,0.00423,39.6
1,1778095706.4862938,1,20087,-0.000658,0.001455,0.005201,39.6
1,1778095706.5370123,1,20137,-0.000825,0.001807,0.005829,39.6
1,1778095706.6015055,1,20202,-0.001027,0.002244,0.00652,39.6
1,1778095706.6382382,1,20237,-0.001143,0.002497,0.006972,39.6
1,1778095706.7057312,1,20293,-0.001338,0.00292,0.007558,39.6
1,1778095706.7862716,1,20387,-0.001746,0.003669,0.008729,39.6
1,1778095706.8366544,1,20437,-0.00199,0.00408,0.009268,40.6
1,1778095706.9356778,1,20537,-0.002435,0.004922,0.010195,40.6
1,1778095706.9863737,1,20587,-0.00274,0.005558,0.010808,40.6
1,1778095707.0521007,1,20653,-0.003102,0.006279,0.011611,40.6
1,1778095707.08537,1,20687,-0.003282,0.006617,0.011904,40.6
1,1778095707.1438458,1,20743,-0.003652,0.007318,0.012565,40.6
1,1778095707.1855292,1,20787,-0.00393,0.007879,0.013087,40.6
1,1778095707.2447083,1,20837,-0.004246,0.008537,0.01361,40.6
1,1778095707.2894666,1,20887,-0.004575,0.009213,0.014115,40.6
1,1778095707.3376682,1,20937,-0.004918,0.009906,0.014695,40.6
1,1778095707.3855438,1,20987,-0.005171,0.010405,0.015031,40.6
1,1778095707.4403715,1,21037,-0.005668,0.011364,0.01578,40.6
1,1778095707.502424,1,21103,-0.00618,0.012368,0.016447,40.6
1,1778095707.54239,1,21137,-0.006465,0.012923,0.016743,40.6
1,1778095707.5882328,1,21190,-0.006926,0.013811,0.017284,40.6
1,1778095707.6372578,1,21237,-0.007272,0.014469,0.017718,40.6
1,1778095707.6896973,1,21287,-0.007757,0.015382,0.018273,40.6
1,1778095707.7878282,1,21387,-0.008693,0.0171,0.019418,40.6
1,1778095707.8355262,1,21437,-0.009133,0.017907,0.019898,40.6
1,1778095707.8873992,1,21487,-0.009686,0.018922,0.020421,40.6
1,1778095707.949705,1,21550,-0.010361,0.020165,0.021098,41.6
1,1778095707.9934402,1,21587,-0.010737,0.020854,0.021401,41.6
